id,symbol,name,rank,consolidation_score,volume_stability_score,breakout_score,breakout_volume_score,rsi_score,ma_score,cap_score,consolidation_volatility,consolidation_range,volume_stability,breakout_price_change,breakout_volume_change,rsi_current,rsi_trend,ma_trend,market_cap,data_days,total_score
bittensor,tao,Bittensor,31,0,4,10,10,10,3,5,0.061533567394217,1.0073454830727613,4,19.76040821976719,10,48.725902936154725,29.560085158609468,-1.5317480547971107,3725059372.305851,361,5.875
fetch-ai,fet,Artificial Superintelligence Alliance,32,0,5,6,0,10,0,5,0.05478072995676439,0.6817810620370783,5,6.792404955470532,0,62.9059367041903,37.9278139502649,-8.43134818816499,3630904124.227803,361,3.625
dai,dai,Dai,33,9,5,0,0,4,0,5,0.00106542347420892,0.005748160048948149,5,-0.051179385843225234,0,48.211876044716334,8.304586482230448,-0.000904903437914939,3311973398.668004,361,3.4375
ethereum-classic,etc,Ethereum Classic,34,0,7,10,10,10,4,5,0.02450464141090457,0.18896891489986134,7,10.035323903322912,10,70.20175745721562,41.63937622884593,-0.15556517368600087,3095212222.085323,361,6.375
stellar,xlm,Stellar,35,0,6,6,10,10,5,5,0.018068336746792812,0.15294220292746985,6,6.641434645937094,10,65.21723047825645,31.79522530897269,0.33110065803894084,3013739684.285991,361,5.625
monero,xmr,Monero,36,0,7,1,10,7,4,5,0.02515993551367107,0.2517353312646279,7,1.2510542085344634,10,54.583944613890445,15.473288915722321,-0.3321703311031321,3004730186.4595017,361,4.3125
polygon-ecosystem-token,pol,POL (ex-MATIC),37,0,0,0,10,10,0,5,0.03660897087995152,0.6171568528525825,0,-4.4071009762517654,10,67.02973372701695,51.20981747142092,-9.325746191517403,2966824478.1861715,361,3.125
ethena-usde,usde,Ethena USDe,38,9,4,0,10,5,5,5,0.0006897763594754392,0.0033454016937135966,4,0.1571526822400804,10,55.338337212293155,11.697683479073689,0.0780631526528408,2908387454.6154184,331,5.3125
whitebit,wbt,WhiteBIT Coin,39,0,0,10,10,4,10,5,0.034910708945244236,0.6821733860395417,0,62.19181805596381,10,77.51928457778602,8.741588721111114,28.605917646352918,2877094437.9402747,361,5.5
crypto-com-chain,cro,Cronos,40,0,5,10,10,10,3,5,0.021952335883880323,0.23838968778285705,5,29.351473866622424,10,81.86341149159068,51.77893355791289,-1.7590071108442018,2857809640.940254,361,6.0
kaspa,kas,Kaspa,41,0,6,0,10,8,0,5,0.03217885281024029,0.4164004629498476,6,-26.710159328215934,10,45.406096369300634,16.24652847591728,-16.58314187376142,2834333338.172563,361,3.625
aave,aave,Aave,42,0,5,10,5,10,4,5,0.04865958772501101,0.5403989399405038,5,33.13369817912915,5,71.50509294884101,41.48625472945642,-0.19906472151856036,2817840707.2703586,361,5.5
okb,okb,OKB,43,0,5,8,10,10,2,5,0.01964123615796219,0.18291451017876614,5,8.218633858257029,10,69.9385611311205,49.81170200790699,-2.605934353070072,2547310767.6863866,361,5.5
blockstack,stx,Stacks,44,0,4,0,10,10,0,5,0.0409872851615901,0.37753949151887095,4,-0.035879339982414216,10,49.54228333892438,23.420028089871522,-3.3031128007995236,2518914497.0853753,361,3.625
dogwifcoin,wif,dogwifhat,45,0,5,10,10,10,10,5,0.05991454476222403,0.7308480985265668,5,24.04099403074669,10,52.39283393281539,22.267506415613852,5.393645556615856,2419419123.148195,334,6.875
arbitrum,arb,Arbitrum,46,0,6,9,10,10,2,5,0.037706579482595266,0.33797270440973226,6,9.923538425344924,10,67.64871186136071,44.701410301779475,-2.92216051667894,2408378229.1389275,361,5.8125
mantle,mnt,Mantle,47,0,7,10,3,10,4,5,0.026049960993483195,0.2011439763299103,7,19.588024654818636,3,77.70965533246866,51.85064060213966,-0.3092291837746175,2407463159.8512735,361,5.5
first-digital-usd,fdusd,First Digital USD,48,9,6,0,10,4,4,5,0.002218117530537213,0.009122185821063576,6,0.03261581288263038,10,52.43946817212487,9.368265003201863,-0.05853295418548621,2351741735.5914836,361,5.3125
filecoin,fil,Filecoin,49,0,7,5,10,10,3,5,0.03292963373946204,0.2612524036481977,7,5.728198493385772,10,65.59423681451459,39.552097958296,-1.8990302815025006,2326409415.613429,361,5.3125
celestia,tia,Celestia,50,0,4,3,10,10,0,5,0.0635003060264842,0.5151363527458054,4,3.008780669535338,10,50.634788825538145,23.45594051427073,-4.700585600382768,2225144475.6039143,361,4.1875
injective-protocol,inj,Injective,51,0,5,10,10,10,0,5,0.04387625784762758,0.3961032357815478,5,14.588589007023888,10,67.47313225051815,43.32664645550193,-4.05118261856442,2212698457.570172,361,5.625
fantom,ftm,Fantom,52,0,5,10,0,10,7,5,0.05669762321679263,0.7294420105507479,5,33.50436755011474,0,61.59725936936628,35.40618835399133,2.1782272098313404,2100732469.8155425,361,5.25
immutable-x,imx,Immutable,53,0,6,0,10,10,0,5,0.047930479825160646,0.4978391948680691,6,-11.871304942633698,10,44.72886582916963,28.22652286024509,-11.848259669149341,2095590183.1800575,361,3.875
optimism,op,Optimism,54,0,7,5,10,10,2,5,0.04227225560693642,0.41643004749570756,7,5.22078018528338,10,54.725750386129995,29.640571683438985,-2.8434253440554835,2066260646.0796363,361,5.1875
render-token,render,Render,55,0,2,0,0,10,0,5,0.0467838019540257,0.42022727271928767,2,-7.156108912909431,0,52.68683075496959,24.487110553147616,-8.356897103631965,1927579769.5805862,361,2.125
hedera-hashgraph,hbar,Hedera,56,0,5,0,10,10,0,5,0.0338561167544905,0.2785917162556971,5,-3.1796905700862244,10,58.18238507891272,45.48302918294643,-6.756450235751399,1934132888.908183,361,3.75
thorchain,rune,THORChain,57,0,6,10,10,7,10,5,0.04599513004608424,0.4787717736249942,6,27.19086930784913,10,56.66702693088552,15.03278010864873,8.491170597782904,1903985514.6240327,361,6.625
cosmos,atom,Cosmos Hub,58,0,7,6,0,10,4,5,0.03637768634221323,0.3690352664155699,7,6.228678830241163,0,62.67580149200154,41.40087456956108,-0.5318068827746103,1870979064.3223164,361,4.375
binance-peg-weth,weth,Binance-Peg WETH,59,0,6,10,10,10,7,5,0.025845537631452406,0.1586417681445909,6,19.23761769704,10,75.73770586228623,44.31999844480774,2.5197076590102396,1831671085.7344127,96,6.625
vechain,vet,VeChain,60,0,6,0,10,10,0,5,0.03108720599976071,0.2935067718281888,6,-1.1552931618902695,10,55.06521104311862,31.701047632684194,-4.212363535681485,1829828394.4995463,361,3.875
bitget-token,bgb,Bitget Token,61,0,6,10,10,10,10,5,0.019462980345731764,0.29046986928968177,6,25.664511427751123,10,66.4424547674628,30.102975587207297,9.37011462652415,1767140332.9332504,361,7.0
sei-network,sei,Sei,62,0,3,10,0,10,3,5,0.05784779991629722,0.6393537427341768,3,18.354633169411215,0,61.9925854061985,39.7901270731392,-1.8871786536048485,1714073134.849006,361,4.5
rocket-pool-eth,reth,Rocket Pool ETH,63,0,2,10,10,10,7,5,0.027846273705620775,0.2112496384877394,2,20.08587737540055,10,74.92538223525554,43.579531539651484,2.5657889975485126,1606097611.821291,361,6.125
the-graph,grt,The Graph,64,0,6,2,10,10,0,5,0.04164344339455333,0.3778080079113509,6,2.5777393431840823,10,55.81445200991118,37.36203549354288,-4.116941875969637,1528864945.9936202,361,4.25
jupiter-exchange-solana,jup,Jupiter,65,0,3,10,10,10,10,5,0.04420704423014569,0.47425707393955807,3,44.670118627062784,10,67.04769298584436,28.04302136600738,14.025685134457921,1588755659.6939895,285,6.625
bonk,bonk,Bonk,66,0,2,10,2,10,7,5,0.050473492740732914,0.4353149365792533,2,13.808006024912679,2,55.61992736313462,32.09664302311667,2.1538022235593646,1551076598.873988,361,5.125
pyth-network,pyth,Pyth Network,67,0,5,10,10,10,10,5,0.0459613421183766,0.40377437975961333,5,36.05454212403125,10,68.02325323635495,25.380881715920083,7.501378221931421,1529632424.7450278,357,6.875
raydium,ray,Raydium,68,0,1,10,10,10,10,5,0.0502850163647392,0.9144454350182161,1,222.49943045126003,10,82.67891747393458,20.70572502869667,50.20667822980969,1509047137.7129898,361,6.375
mantle-staked-ether,meth,Mantle Staked Ether,69,0,3,10,10,10,7,5,0.02806475737870826,0.21447117960475115,3,20.582563783966258,10,75.65987935382674,43.23377303739717,2.7331449262725904,1459609794.3644931,339,6.25
ethena,ena,Ethena,70,0,2,10,10,10,10,5,0.07352573588999065,0.7398234434628351,2,70.15236178731281,10,75.8903881177975,45.061413170024494,16.043202198575468,1454092370.8312798,223,6.5
popcat,popcat,Popcat,71,0,5,10,10,3,0,5,0.08690243007498703,1.2911094442119955,5,66.18559609478565,10,51.54796545282549,7.665897308576795,24.280014809014673,1447953200.3568873,328,4.75
floki,floki,FLOKI,72,0,4,7,0,10,4,5,0.04850355015152041,0.42532140984199984,4,7.52489133744616,0,57.4476760031439,30.106176725656624,-0.348823465173953,1403941040.6492517,361,4.1875
maker,mkr,Maker,73,0,6,0,10,10,0,5,0.03366986864701295,0.7036618125402468,6,-5.965725235547026,10,77.14145662912489,53.615080565434184,-11.80623643356925,1320246550.468144,361,3.875
renzo-restaked-eth,ezeth,Renzo Restaked ETH,74,0,4,10,0,10,7,5,0.02818008116073523,0.21628187151020434,4,20.996004079148456,0,75.6420315137217,43.825092181287275,2.9641867874216743,1294537134.171668,291,5.125
worldcoin-wld,wld,Worldcoin,75,0,3,10,10,10,10,5,0.061038763983188686,0.6366919816503587,3,18.850031412173163,10,53.22785961286556,32.98408262026233,5.068627844606888,1293056106.8901107,361,6.625
kucoin-shares,kcs,KuCoin,76,0,0,10,2,10,10,5,0.02063800727172622,0.19944255682410683,0,29.723208062914573,2,79.3443403109822,33.06580486528649,8.92670862563827,1274797828.8603318,361,5.25
theta-token,theta,Theta Network,77,0,6,0,6,10,0,5,0.03764121217896649,0.3360935704664648,6,-5.155632208940042,6,56.040181851079254,36.65452332758758,-8.005125373402567,1209147706.394717,361,3.375
arweave,ar,Arweave,78,0,4,0,10,10,0,5,0.04708726450891157,0.5072009017842903,4,-13.32081264780044,10,58.12483821529215,40.69464911509282,-13.0617723047885,1170574064.8271708,361,3.625
mantra-dao,om,MANTRA,79,0,5,10,10,10,9,5,0.04112736162540835,0.6418681407409453,5,20.81713964440821,10,58.34533386284494,27.837112785960997,4.263904271202934,1247037987.632742,361,6.75
gatechain-token,gt,Gate,80,0,5,10,10,10,5,5,0.018949884904476088,0.2685875321847731,5,14.549290795373127,10,68.1595822537361,39.62551898930573,0.27673690686897956,1203827887.7784512,361,6.25
helium,hnt,Helium,81,0,5,0,0,8,0,5,0.0538557495378028,0.36892532373467857,5,-6.973993722903538,0,46.2684680299234,17.645404196235503,-5.026345207312821,1141412014.656415,361,2.25
