id,symbol,name,rank,consolidation_score,volume_stability_score,breakout_score,breakout_volume_score,rsi_score,ma_score,cap_score,consolidation_volatility,consolidation_range,volume_stability,breakout_price_change,breakout_volume_change,rsi_current,rsi_trend,ma_trend,market_cap,data_days,total_score
mina-protocol,mina,Mina Protocol,136,0,0,10,10,10,7,6,0.043476876008084815,0.4412198187596543,0,13.625267946333587,10,57.78311378728812,34.48994891352306,2.0533257036185137,651408571.7826318,361,6.0
frax,frax,Frax,137,9,3,0,10,3,0,6,0.0011802987455751968,0.005786986707740081,3,-0.1567853796034746,10,45.22445933760171,6.99585947427758,-0.05730675218634795,646413737.3313434,361,4.4375
pepecoin-2,pepecoin,PepeCoin,138,0,6,10,10,10,0,6,0.06951125565263916,0.8000412355674859,6,113.93431771588318,10,84.80114888119073,36.87415129707964,-4.594630998142257,640119871.5975302,361,5.875
gigachad-2,giga,Gigachad,139,0,3,10,10,7,10,6,0.10995040116307227,1.782728372582416,3,132.71036953013976,10,67.30321299413177,15.92989470928287,46.94133761366128,638591347.8111975,294,6.375
ethereum-name-service,ens,Ethereum Name Service,140,0,6,6,10,10,2,6,0.04061230220271391,0.36100025216755,6,6.125735899202001,10,64.0832395077114,34.71896237041359,-2.5224381279368546,631530641.8615701,361,5.375
the-sandbox,sand,The Sandbox,141,0,7,0,10,10,1,6,0.03660110337564402,0.2629385065538734,7,0.568436609006806,10,59.588013895700065,36.05669400851844,-3.1031086141235398,631479516.7485328,361,4.25
axelar,axl,Axelar,142,0,0,10,0,10,10,6,0.06013529096471738,0.6572535270386186,0,21.815776619350082,0,52.165565204441464,29.180442216034407,10.135745059344426,629517018.5169402,361,5.125
akash-network,akt,Akash Network,143,0,2,0,1,10,0,6,0.03676509861136618,0.32635045916602146,2,-1.8435414309351805,1,60.311174395079874,27.93241037988615,-5.957232533883905,617482475.1751686,361,2.375
turbo,turbo,Turbo,144,0,3,10,10,10,10,6,0.09025195249916342,1.5395879511386046,3,54.24333365101246,10,52.25639170028986,22.34070467620284,19.620313529927657,619874546.8882318,361,6.75
safe,safe,Safe,145,0,0,10,10,1,10,6,0.06841899624271822,0.9690349469419959,0,44.71568101681409,10,35.373513591129466,3.9242530449367194,23.575625932211075,610393491.6853145,202,5.25
nervos-network,ckb,Nervos Network,146,0,0,7,0,10,0,6,0.08217838800933301,0.8748150169009111,0,7.992307618785399,0,52.16171588448788,26.596523178456685,-10.990129402414317,609320596.6061025,361,3.3125
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),147,9,6,0,10,10,5,6,0.0007746721388481772,0.003903069194385804,6,0.026595485531921703,10,54.00001262237532,22.32866367979777,0.009493382730640931,607822653.0531976,361,6.3125
superfarm,super,SuperVerse,148,0,4,10,10,9,10,6,0.05286856456873309,0.9356703843415598,4,46.88403626344417,10,53.075215388149005,19.735720163526537,13.439833900065,605062298.5781952,361,6.75
aioz-network,aioz,AIOZ Network,149,0,4,10,10,10,2,6,0.04277964372210201,0.41895588447445237,4,19.128087080822652,10,69.09084681537429,42.57556072975413,-2.5556552432748347,602587188.6494673,361,5.875
book-of-meme,bome,BOOK OF MEME,150,0,2,10,10,8,10,6,0.06667017327309778,0.6611325244210777,2,22.390088149867626,10,51.75509127147505,17.375851313526837,11.148527756616101,597291137.7848172,242,6.375
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,151,0,4,10,10,10,7,6,0.027803575298125965,0.21485184376421554,4,20.565546607879348,10,75.72918001036592,44.294273512659274,2.695039628737539,595370962.5699137,361,6.5
decentraland,mana,Decentraland,152,0,6,8,8,10,4,6,0.038510082266265996,0.3112238352940384,6,8.549761449506255,8,60.66364098039338,31.960543503656325,-0.07371890980146789,584198041.8802598,361,5.75
eigenlayer,eigen,Eigenlayer,153,0,8,0,0,10,0,6,0.07651270638664967,0.22733068643391147,8,-1.3256594354694617,0,54.5484699877249,34.87915108821643,,583837667.7211412,41,3.0
chiliz,chz,Chiliz,154,0,0,4,10,10,0,6,0.03732939934385456,0.5508096906306098,0,4.163768745080998,10,53.16047942334091,43.039618738413274,-2.1221660772475337,575473800.8822542,361,4.0
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),155,0,5,10,10,10,7,6,0.02561691991099901,0.15580125459725394,5,19.92011731822545,10,75.5005382564596,43.960218075482956,2.5553604453455447,574344522.9789116,88,6.625
pancakeswap-token,cake,PancakeSwap,156,0,5,7,10,10,1,6,0.034293718676013156,0.34721460313171115,5,7.540748396816244,10,64.1010422517902,44.40139280018322,-3.7686353961027708,555652471.986411,361,5.3125
paypal-usd,pyusd,PayPal USD,157,9,4,0,10,6,0,6,0.0016115053041076556,0.008764794952967808,4,0.007115304051485971,10,50.76099163315838,12.014369070959624,-0.010923137702045782,547297430.8049031,361,4.9375
sats-ordinals,sats,SATS (Ordinals),158,0,4,0,0,10,0,6,0.0642345092396899,0.5771786680002194,4,-14.335751511022742,0,56.23755120321624,34.046645644181126,-12.300186455875462,538423334.3941594,361,2.5
dydx,ethdydx,dYdX,159,0,1,10,10,10,10,6,0.05438538976254786,0.47212388373851116,1,12.084734174828071,10,61.160723330483464,43.60503807127826,6.029927585079786,495434345.7650805,361,6.5
oasis-network,rose,Oasis,160,0,5,10,10,10,3,6,0.042999035074620745,0.4872876718351543,5,24.265047737795275,10,68.14044840175264,44.83426663420909,-1.2737655454265195,534245082.1638266,361,6.125
beldex,bdx,Beldex,161,0,2,10,10,10,10,6,0.02745246920405392,0.48861440460907746,2,33.09690935832683,10,61.59871781735358,27.981874562627006,14.524450191308746,532652056.5287421,361,6.625
pax-gold,paxg,PAX Gold,162,0,5,2,10,1,0,6,0.00604902020970634,0.12450094698108458,5,2.943258818235428,10,34.49147340923196,2.7996187491481663,2.340906481800631,529036587.4166075,361,3.125
ronin,ron,Ronin,163,0,5,0,10,10,0,6,0.03453575007936867,0.314249972636867,5,-9.473877236648665,10,48.77061974205802,28.423501022386887,-6.794150358334217,524288746.15808445,361,3.875
havven,snx,Synthetix Network,164,0,7,10,10,10,2,6,0.04414219483708367,0.3337731942979796,7,10.565340550140224,10,64.00099030911343,38.23705465682323,-2.4207820976995476,524196477.4522505,361,6.25
zksync,zk,ZKsync,165,0,6,10,10,10,7,6,0.047601584754518055,0.42778348672258953,6,15.51155800072852,10,59.67906714262918,32.033961153931216,2.5275413431351312,521661117.91938937,147,6.75
terra-luna,lunc,Terra Luna Classic,166,0,3,10,10,10,6,6,0.034066664197769214,0.29393823677773795,3,11.137626275174828,10,60.257875402800444,26.986597967101822,1.9203576155884194,514976809.6766162,361,6.25
binance-staked-sol,bnsol,Binance Staked SOL,167,0,3,10,10,10,10,6,0.03402399481904333,0.2037064438502722,3,27.301194272998597,10,71.31974129484507,28.200232153671514,12.796842756144544,512724617.9338788,60,6.75
true-usd,tusd,TrueUSD,168,9,6,0,10,10,4,6,0.0015633956811151614,0.008182951391187085,6,0.01881288804230774,10,56.522793747012436,23.079426831893464,-0.16285348273049616,494980267.12534004,361,6.1875
super-oeth,superoethb,Super OETH,169,0,1,10,10,10,7,6,0.02468445556681789,0.14728808016208694,1,20.168672975562842,10,75.51323355219999,43.40600676904762,2.571402492035557,490222461.88937604,74,6.125
dexe,dexe,DeXe,170,0,6,5,0,10,3,6,0.03474656248465472,0.2580080314150688,6,5.712944118408458,0,61.251467219899546,36.54981927965796,-1.8076012071045922,488377963.58191985,361,4.0625
frax-ether,frxeth,Frax Ether,171,0,0,10,10,10,7,6,0.028093410036679815,0.22199363536189948,0,20.100670025509082,10,77.15122020842038,43.164770304700184,2.282665045158705,484613507.9859385,361,6.0
corgiai,corgiai,CorgiAI,172,0,0,10,10,10,3,6,0.053861725133404974,0.5440438304816396,0,81.44328024229577,10,84.903955781938,65.62429428260982,-1.0527659703131964,466226899.1384652,361,5.5
blur,blur,Blur,173,0,5,10,10,10,6,6,0.054302795432251486,0.6783212162073314,5,12.43440657387418,10,50.73845710646572,37.72291799586037,1.3076786737631574,451887634.2253228,361,6.5
drift-protocol,drift,Drift Protocol,174,0,5,10,10,10,5,6,0.06799215249115884,0.7707889558905996,5,225.89345556882603,10,86.61929822312261,54.84452812170889,0.9900725149261325,432860597.3844829,179,6.375
l2-standard-bridged-weth-blast,weth,L2 Standard Bridged WETH (Blast),175,0,1,10,0,10,7,6,0.02547819975865725,0.1568348539382052,1,19.874629756766993,0,75.5455677239657,43.82531076776887,2.558270125685125,442763452.56031615,88,4.875
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),176,0,6,10,10,10,7,6,0.02577405409442451,0.1563122154074207,6,19.956067144510172,10,75.57862452636967,43.94475844194088,2.5424537917206447,437107629.81334454,88,6.75
xdce-crowd-sale,xdc,XDC Network,177,0,6,6,10,10,3,6,0.010162581830596845,0.15855304437592746,6,6.549844882659728,10,68.24394668795044,40.55756721623271,-1.6097870343635523,435629381.033472,361,5.5
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),178,0,6,10,10,10,10,6,0.021616719661948416,0.24669989932119196,6,24.099071629826852,10,75.10069031256836,25.957394114970455,7.40401552843486,433186058.7344357,361,7.125
astar,astr,Astar,179,0,4,0,0,10,0,6,0.038601361257300085,0.45491719864851937,4,-5.692221866352465,0,60.174034580644744,43.843110413538724,-8.040151448370514,433175564.68906283,361,2.5
trust-wallet-token,twt,Trust Wallet,180,0,0,10,0,10,6,6,0.043005049885442126,0.4135443520561259,0,10.237356672815245,0,55.444402761949746,29.84345098550756,1.149248686101556,432893926.41371155,361,4.625
iota,iota,IOTA,181,0,6,0,0,10,0,6,0.03233896577731826,0.32355446373052454,6,-4.399462104520724,0,64.95862008762234,35.39799947087975,-7.8022105646459945,428209195.71935683,361,2.75
apenft,nft,APENFT,182,0,8,0,10,2,0,6,0.02738092107741384,0.27763176299976516,8,-0.06867992424210989,10,46.21806798672888,5.701315735792043,2.476591244969728,422134692.5418672,361,3.25
layerzero,zro,LayerZero,183,0,5,0,0,10,0,6,0.046529311308020016,0.46153509725954867,5,-5.110572642942102,0,59.11352442451646,36.49178319355361,-11.875267132740886,420626974.36346644,144,2.625
fwog,fwog,Fwog,184,0,6,10,10,10,10,6,0.12429806982744693,1.3900963817347687,6,190.34388163069718,10,78.89860752013249,22.11345869030147,65.55145906117595,415590984.25517684,104,7.125
bitcoin-gold,btg,Bitcoin Gold,185,0,2,4,10,10,3,6,0.024567293980770285,0.2276614590919454,2,4.718167936645612,10,62.11081107729648,26.924224695916102,-1.0682721765293168,414259916.3474478,361,4.625
compound-governance-token,comp,Compound,186,0,7,4,0,10,2,6,0.03291114039541662,0.299279551310813,7,4.070446956409968,0,68.75316297530199,41.68059667963122,-2.4436255492100156,413607971.23489845,361,3.875
stepn,gmt,GMT,187,0,2,6,0,10,1,6,0.04790091635293105,0.4307203769406984,2,6.814683463858273,0,59.42489252542274,24.98473436873875,-3.0600061568066605,412259787.66354,361,3.5
dog-go-to-the-moon-rune,dog,DOG•GO•TO•THE•MOON (Runes),188,0,5,10,10,10,0,6,0.07328848674811377,1.0292149408432294,5,16.712907874624207,10,43.98068897888889,27.885786146041696,9.942534436420992,405070039.2902333,199,5.75
quantixai,qai,QuantixAI,189,0,6,10,0,10,10,6,0.02512042462025469,0.2674388128296241,6,27.673796198075216,0,94.13107654782576,50.42815959593262,6.235022758409503,405276004.6492453,237,5.875
usdb,usdb,USDB,190,7,4,0,10,3,0,6,0.0090259157935963,0.02531502037510836,4,-0.7048953435360272,10,51.10595698558956,6.420689362666053,-0.08773058469457862,402914783.4939157,255,4.1875
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,191,4,0,0,0,6,5,6,0.008361944940924964,0.05597268944395121,0,0.8808365970953247,0,57.402119268607,13.634138995881337,0.34456868655128314,400724909.395211,361,2.875
reserve-rights-token,rsr,Reserve Rights,193,0,5,10,0,10,3,6,0.052530108649504074,0.5973812133873981,5,25.70441585780321,0,69.63709706914871,41.091209187075165,-1.549087963478668,399753191.98791534,361,4.875
baby-doge-coin,babydoge,Baby Doge Coin,194,0,0,10,0,10,0,6,0.10814976592896268,1.377557644568476,0,36.70537787852315,0,48.65933021934517,31.222393307271425,6.100512965477312,397234013.97889584,361,3.875
woo-network,woo,WOO,195,0,2,10,10,10,8,6,0.053580146120693,0.4433385514029086,2,27.392305214164516,10,63.593146760339835,31.748773757548108,3.786774277206817,397577893.1272954,361,6.375
jito-governance-token,jto,Jito,196,0,4,10,10,10,10,6,0.048264420075067496,0.4040819745276632,4,38.39312936334372,10,69.09080039089102,29.849833802501074,6.242464398190717,395140615.50148207,340,6.875
livepeer,lpt,Livepeer,197,0,6,0,0,10,0,6,0.050978890016664544,0.40703561735820254,6,-14.572494715796457,0,48.20935672347372,34.215226676025424,-11.352368331568508,381083419.48808694,361,2.75
zetachain,zeta,ZetaChain,198,0,0,10,10,10,10,6,0.06638058034393692,0.5640206012685801,0,32.31249143118313,10,64.337828132304,29.217763993081093,5.945381358508928,394712064.646512,284,6.375
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,199,0,1,10,10,10,10,6,0.03675653454202437,0.4837754839843339,1,90.94629091184565,10,78.60886068644412,23.21597486582683,25.6311007592527,393165332.836913,361,6.5
sweth,sweth,Swell Ethereum,200,0,4,10,10,10,7,6,0.027938342691460685,0.21498630884402462,4,20.458018400561386,10,75.45961563613568,43.670591022582826,2.7466084078102693,393379192.6883081,361,6.5
iotex,iotx,IoTeX,201,0,5,6,10,10,4,6,0.04317732887579027,0.4245249628226455,5,6.213087645865345,10,56.17014121624,25.336786649970648,-0.23980922171961128,376728374.68259436,361,5.5
kava,kava,Kava,202,0,1,4,0,10,1,6,0.042254553025889756,0.3623397129850674,1,4.579816145156457,0,60.2454722103,36.89716616422471,-3.043650558405686,381358762.3771803,361,3.0
stader-ethx,ethx,Stader ETHx,203,0,0,10,10,10,7,6,0.028746933478654313,0.2152675256914006,0,20.61198810387266,10,75.67847580940597,44.15436425603677,2.6852623450898783,378745208.5528639,361,6.0
theta-fuel,tfuel,Theta Fuel,204,0,0,0,0,10,0,6,0.033784062695705344,0.321292772705622,0,-7.566494584000116,0,52.62628548822775,39.65248323421676,-8.995128947223574,375131542.56241184,361,2.0
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,205,3,4,10,10,10,0,6,0.024323681390636797,0.06072048228657537,4,13.589818118695952,10,74.84684423112255,26.45953955219465,,375385802.30823296,42,6.1875
binance-peg-busd,busd,Binance-Peg BUSD,206,8,4,0,0,6,5,6,0.0031033312044389835,0.011302793988759911,4,0.20885437273203689,0,55.09051190193613,12.04696302038868,0.0030847473726725028,369165986.6477801,361,4.125
echelon-prime,prime,Echelon Prime,207,0,1,0,10,10,0,6,0.06396817956023,0.6931995287595704,1,-9.511036116918802,10,49.44641863242368,28.59184493126181,-14.195351423568702,364888174.9643283,361,3.375
ethereum-pow-iou,ethw,EthereumPoW,208,0,0,10,10,10,10,6,0.06807668719009712,0.9248148728282252,0,36.12651611847231,10,55.63540199321637,27.94293629790453,8.67412124948137,364097918.5302848,361,6.375
celo,celo,Celo,209,0,0,10,10,10,5,6,0.04974985932447723,0.7996519014909707,0,12.604756077810375,10,50.42723641941523,37.09438231262033,0.1442940832816264,359239435.8735116,361,5.75
staked-frax-ether,sfrxeth,Staked Frax Ether,210,0,0,10,10,10,7,6,0.0277487201584806,0.2187874144142469,0,20.74929143272648,10,75.97216609953219,46.324359854861385,2.62840372193458,359176990.0434583,361,6.0
virtual-protocol,virtual,Virtuals Protocol,211,0,0,10,10,0,10,6,0.10437021162816457,6.126751852032203,0,479.09024406225996,10,45.572765401709674,0.0,128.11989508631578,358759037.6884118,319,5.125
1inch,1inch,1inch,212,0,4,4,0,10,2,6,0.04756565128737025,0.33945337161959077,4,4.223034479411658,0,61.8681983196242,38.413847337577465,-2.9821709951506126,348945567.90124446,361,3.5
ether-fi,ethfi,Ether.fi,213,0,6,10,10,10,3,6,0.055126635923395825,0.367300551195417,6,14.43190459246102,10,64.85008123518412,41.3643475974942,-1.911198035611117,347772389.88788754,238,6.25
safepal,sfp,SafePal,214,0,6,0,0,10,0,6,0.02261242036772035,0.1794202629684028,6,-4.914102349485805,0,53.911187875453834,30.702390961977287,-4.0525403138346405,345885257.7987221,361,2.75
memecoin-2,meme,Memecoin,215,0,2,4,10,0,0,6,0.07066359024452214,0.5732019839303372,2,4.705100795809658,10,33.94284293878164,1.7161925385818932,6.031744121246674,344859632.096763,361,3.0
dymension,dym,Dymension,216,0,5,4,0,10,0,6,0.07050518287281872,0.5020245678008528,5,4.749144365313662,0,59.268801163971965,42.59086713418048,-5.612306578002246,344749276.69320357,280,3.375
usual-usd,usd0,Usual USD,217,9,2,0,10,4,0,6,0.0010664219537060361,0.00441962788606126,2,-0.06650977455396889,10,48.615969171812196,9.496805764755607,-0.04496823363608904,344123317.6096109,124,4.4375
apu-s-club,apu,Apu Apustaja,218,0,6,10,10,10,10,6,0.10790047347985517,2.2370316994217134,6,153.234028117713,10,63.493836365397,39.89013063575695,41.928015738364245,344536266.59309095,243,7.125
curve-dao-token,crv,Curve DAO,219,0,6,0,0,10,0,6,0.04776188618272377,0.4128506420615103,6,-1.001512813493488,0,68.09300381456417,41.281117105549015,-6.090495184697264,341223114.51445484,361,2.75
liquid-staked-ethereum,lseth,Liquid Staked ETH,220,0,0,10,0,10,7,6,0.027689959113699737,0.21389888900272655,0,20.915224534096332,0,75.74699564433018,43.70033604585406,2.910597422598804,333018065.19341904,361,4.75
wemix-token,wemix,WEMIX,221,0,4,0,0,10,0,6,0.03307563914220693,0.3200108429539593,4,-5.1466669580175095,0,63.593632327699545,40.52820074888863,-7.312921802081373,329356056.5104279,361,2.5
dogs-2,dogs,Dogs,222,0,5,0,0,10,0,6,0.06636265880702735,0.34081949625773333,5,-11.593066156318121,0,55.220240996509744,36.10539377773418,-19.499178468805734,326119002.54385555,77,2.625
holotoken,hot,Holo,223,0,1,8,2,10,4,6,0.05097772842850921,0.43293739935018527,1,8.271474692914737,2,61.05827611031669,33.837869592835155,-0.25150897239808456,312889231.4015806,361,4.375
constitutiondao,people,ConstitutionDAO,224,0,6,0,10,7,0,6,0.06370441615716733,0.5768708265407788,6,-6.164630935891702,10,41.10469938920651,15.995301160384749,0.0663157837051509,323415694.49795765,361,3.625
chex-token,chex,CHEX Token,225,0,0,10,10,5,10,6,0.05943716831929795,1.3936563583490087,0,134.87538179438968,10,61.979077394661864,10.866964047091123,45.03154544005685,320196713.90539837,361,5.75
tbtc,tbtc,tBTC,226,0,3,10,10,10,10,6,0.021570743812783646,0.24372713452556263,3,23.963479304139202,10,74.35129800900404,24.855399524018743,7.2763264675336,320016351.32451713,361,6.75
aleo,aleo,ALEO,227,0,6,0,0,10,0,6,0.08127478561609809,0.4703455160734681,6,-33.907085462071095,0,38.743936955170675,26.90045164944656,,318873245.3273223,53,2.75
golem,glm,Golem,228,0,0,2,0,10,0,6,0.039112803862963216,0.3786136787389736,0,2.000694145199833,0,55.46835736388639,34.30863664347837,-3.220119457169801,316903036.1897573,361,2.375
osmosis,osmo,Osmosis,229,0,6,0,0,10,0,6,0.043305607493331136,0.6415277218859846,6,-4.365031580889422,0,54.65299858715511,43.89990746036396,-11.590652105381116,315217604.17565256,361,2.75
amp-token,amp,Amp,230,0,0,0,0,10,2,6,0.03101910425043994,0.24224098132119704,0,0.22916557015943972,0,55.91751661427139,40.49958847011642,-2.4206316267246453,313490229.491426,361,2.25
compound-wrapped-btc,cwbtc,cWBTC,231,0,0,10,0,10,10,6,0.021714484886396275,0.24314664007886846,0,24.06597190352786,0,74.57570749578863,24.910322904838893,7.391893670062477,309295505.13220024,361,5.125
moo-deng,moodeng,Moo Deng,232,0,0,10,0,0,0,6,0.537491662223269,1.7093354423408575,0,178.56802797884376,0,57.03994940806522,0.1447701188280135,,307868086.90440345,53,2.625
metaplex,mplx,Metaplex,233,0,0,10,10,9,0,6,0.053110050729486824,0.7925025174077793,0,16.528265994657776,10,51.368627385879165,18.91921282158978,5.10184941249523,307412299.23417675,361,5.0
origintrail,trac,OriginTrail,234,0,5,10,10,10,10,6,0.04640811965365554,0.41031017260523434,5,48.99291434115074,10,84.04768853446303,24.771053773172156,6.188374895019022,316415658.04793817,361,7.0
polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS),235,0,5,10,10,10,10,6,0.018734423165981555,0.13696706591518693,5,18.98166893495421,10,75.24544464978379,25.960439303893146,7.409688345642129,298829314.834454,99,7.0
aevo-exchange,aevo,Aevo,236,0,7,0,0,10,0,6,0.052344760250822575,0.40022526978969036,7,-5.989121472530579,0,52.95061275279496,36.301045527664364,-6.539826141747107,295476626.35508204,243,2.875
verus-coin,vrsc,Verus,237,0,0,10,0,10,10,6,0.09403897629290395,1.116788110032846,0,51.99547804671229,0,60.47220140964741,24.82261608203656,10.34794468773943,292614621.8742138,361,5.125
dash,dash,Dash,238,0,5,0,0,10,0,6,0.024341466641972523,0.21641812167342936,5,-2.1778190891166505,0,64.03558521439365,35.64396382251087,-4.093015241612685,286646884.7379181,361,2.625
manta-network,manta,Manta Network,239,0,5,2,10,10,0,6,0.04853059683735997,0.4557326204477088,5,2.02167255569925,10,61.4467075068995,39.94685630334739,-7.86589734418166,288436667.30594987,298,4.25
zilliqa,zil,Zilliqa,240,0,7,5,10,10,3,6,0.03154250843304121,0.29163585553294813,7,5.13644207998929,10,60.05226343383531,35.26880063814379,-1.5501170663921093,286999206.12057877,361,5.4375
metis-token,metis,Metis,241,0,3,10,10,10,10,6,0.052859042635964346,0.5124910465285213,3,32.931356761052896,10,65.26420103358092,31.060396294033097,9.2844449749377,285514442.0808734,361,6.75
0x,zrx,0x Protocol,242,0,2,6,10,10,5,6,0.03503249819308909,0.3285064131290235,2,6.905863903869913,10,56.70508708415247,36.82290492281416,0.6792548212179339,284388064.8271643,361,5.25
benqi-liquid-staked-avax,savax,BENQI Liquid Staked AVAX,243,0,3,10,10,10,3,6,0.03702635034781881,0.41052876992221954,3,17.247605652263644,10,66.37162588623875,43.707346968877886,-1.889021241460176,284070606.03066605,361,5.875
mimblewimblecoin,mwc,MimbleWimbleCoin,244,0,0,10,10,10,10,6,0.2970505433082226,0.9121140443899651,0,40.74187844501338,10,71.77520474560343,29.749445041871837,10.962010472841332,283988450.5195521,361,6.375
just,jst,JUST,245,0,6,0,0,7,0,6,0.021380242940125214,0.22638616472588685,6,-2.081303675375057,0,45.84509735667075,15.126923648348011,-0.4207670994299417,283602816.0377376,361,2.375
kusama,ksm,Kusama,246,0,7,0,1,10,0,6,0.03784810829321279,0.31628894815630026,7,-6.480104325262548,1,57.249448663033924,36.28996831503412,-8.708453032586338,280280858.4392435,361,3.0
pumpbtc,pumpbtc,pumpBTC,247,0,0,10,10,10,10,6,0.01960812658731937,0.18641037448667314,0,20.526738887906927,10,75.72064231419574,25.317764522575935,8.116956123415232,278889149.51559794,114,6.375
ponke,ponke,PONKE,248,0,6,10,10,8,10,6,0.0684338159426659,0.714605139641886,6,57.695423237573216,10,64.7387425855221,16.169355473275296,23.15913517747614,277728996.1603614,323,6.875
mx-token,mx,MX,249,0,5,0,10,10,0,6,0.025184110733096104,0.36120430530094555,5,-19.664303427810694,10,49.476225164689346,22.765224890956354,-12.359553236324805,273484927.04664904,361,3.875
enjincoin,enj,Enjin Coin,250,0,7,4,10,10,2,6,0.04008285260122817,0.31921989029259057,7,4.4922580411865365,10,58.98085644278422,36.48723805541655,-2.645347577610302,273506337.81089467,361,5.125
nosana,nos,Nosana,251,0,0,10,10,0,10,6,0.0850180040422646,1.1908936889691932,0,76.50859734188771,10,44.04462576834976,0.0,35.393593394988955,279189552.9408252,361,5.125
siacoin,sc,Siacoin,252,0,0,0,10,10,0,6,0.02937208074628318,0.26085018211229144,0,0.9628834201250269,10,48.21913166820697,27.69559408255904,-1.2286308595118367,267734431.6157229,361,3.25
solayer-staked-sol,ssol,Solayer Staked SOL,253,0,1,10,0,10,10,6,0.03197313574728371,0.2529535569765823,1,31.54801388056221,0,71.34694709119373,28.450125503498626,12.837297178333218,269337870.3386511,75,5.25
mask-network,mask,Mask Network,254,0,5,10,10,5,10,6,0.03728318634458431,0.28789720106193645,5,22.094012939174256,10,56.934572085613055,10.497636724413944,8.060849976276984,268931915.3454201,361,6.375
polymesh,polyx,Polymesh,255,0,2,4,0,10,1,6,0.038650043882516756,0.3434469262936197,2,4.224352702354839,0,57.697850708432554,37.314249507871764,-3.549111877091171,267136092.96924165,361,3.125
ravencoin,rvn,Ravencoin,256,0,0,8,5,10,5,6,0.048772187047516576,0.3436881002505614,0,8.114731408079834,5,57.148807597502646,20.969504233660345,0.3947758594768258,266509672.95008272,361,4.75
ankr,ankr,Ankr Network,257,0,5,0,6,10,0,6,0.03420573177334534,0.3448443912496462,5,-0.7950358922685585,6,57.17680476472629,34.37181518747345,-5.24481764337581,260233619.3792084,361,3.375
aelf,elf,aelf,258,0,4,0,0,10,0,6,0.024208660133745362,0.20000942494508742,4,-5.648620472568888,0,55.40316881035036,36.60624117567301,-4.956748444272307,262993346.19538516,361,2.5
paal-ai,paal,PAAL AI,259,0,5,10,10,10,8,6,0.07162316001030512,0.7091287026600234,5,55.72575674079485,10,78.41145181324147,46.9791366684797,3.001277506610567,265994812.93255076,361,6.75
basic-attention-token,bat,Basic Attention,260,0,7,0,10,10,0,6,0.029236157886351307,0.25907966606373006,7,-1.860438130665809,10,57.750787294537176,32.981169609123,-4.788498056617108,253921452.73544675,361,4.125
gmx,gmx,GMX,261,0,1,9,10,10,3,6,0.04250738788070575,0.40701482775771924,1,9.221780353099884,10,68.84769027408818,34.06791065673244,-1.997376533972628,259311262.7628839,361,5.4375
qtum,qtum,Qtum,262,0,6,2,0,10,1,6,0.032000396732816294,0.2685722878819228,6,2.8521962971351345,0,63.761470188659445,41.27499464108874,-3.8552092854232667,258260918.91594952,361,3.25
rune-pups,pups,PUPS•WORLD•PEACE,264,0,0,10,10,10,10,6,0.17782540869052033,2.4337183563342215,0,257.53613986160656,10,73.00956938854515,30.587996065366873,43.07587906840187,257508433.6110773,167,6.375
olympus,ohm,Olympus,265,0,2,7,10,7,6,6,0.01355343957511739,0.16823927546207185,2,7.390380978205013,10,53.05040838648963,14.80316721763532,1.7638443703783535,257010482.1539021,361,5.1875
gas,gas,Gas,266,0,0,6,0,10,4,6,0.04007591313473847,0.40956710890026915,0,6.800717890042929,0,51.96525654806297,33.20253943969196,-0.4347967158307653,257008246.09747174,361,3.625
altlayer,alt,AltLayer,267,0,2,9,6,10,0,6,0.07035092998236303,0.6181117408479108,2,9.83662049357319,6,63.19791817920863,42.135623977229,-6.590447832344736,254970997.60940814,290,4.6875
ultima,ultima,Ultima,268,0,7,0,0,6,0,6,0.035366235777011874,0.36338277120904694,7,-11.219341286962392,0,39.898782192415474,12.054758773858829,-2.8511721049779615,254343442.62754485,361,2.375
coinex-token,cet,CoinEx,269,0,0,10,0,3,0,6,0.022624368042857876,0.4438640083933556,0,12.9730243989584,0,28.834930923384164,6.1067268670989705,5.566471759533176,253534007.27680582,359,3.0
amnis-aptos,amapt,Amnis Aptos,270,0,5,10,0,10,10,6,0.05036222340547735,0.6385446671842522,5,30.626669207714908,0,55.67356923610681,25.031392794669806,9.194929648462313,248111181.15725505,361,5.75
simon-s-cat,cat,Simon's Cat,271,0,0,10,10,10,7,6,0.11267868392632807,0.5915177407082369,0,21.911472523007667,10,52.81897678310274,23.05431982532302,2.6978869411955264,245445456.06839558,81,6.0
